en_URL,ar_URL
https://www.washingtonpost.com/world/frustrations-rise-in-damascus-as-water-pipes-run-dry/2017/01/14/95ed23d0-d6a1-11e6-b8b2-cb5164beba6b_story.html,http://www.huffpostarabi.com/2017/01/16/story_n_14201124.html
http://www.independent.co.uk/voices/the-top-10-nicknames-for-generals-a7524171.html,http://www.huffpostarabi.com/2017/01/16/story_n_14197138.html
http://www.huffingtonpost.co.uk/entry/bana-alabed-tweets-about-her-new-life-in-safety-after-leaving-war-torn-aleppo_uk_587b5de9e4b04a8bfe6a983e,http://www.huffpostarabi.com/2017/01/16/story_n_14198588.html
http://www.independent.co.uk/news/world/middle-east/russia-syria-civil-war-military-air-naval-bases-a7528396.html,http://www.huffpostarabi.com/2017/01/16/story_n_14198194.html
http://theconversation.com/why-are-some-people-afraid-of-cats-70867,http://www.huffpostarabi.com/2017/01/15/story_n_14181352.html
http://www.dailymail.co.uk/health/article-4087228/How-cheaper-faster-alternative-costly-clear-braces-perfect-smile.html,http://www.huffpostarabi.com/2017/01/13/story_n_14103896.html
http://www.redbookmag.com/love-sex/relationships/tips/a103/289139/,http://www.huffpostarabi.com/2017/01/15/story_n_14129926.html
https://www.theguardian.com/science/blog/2017/jan/13/poisoned-shot-and-beaten-why-cyanide-may-have-failed-to-kill-rasputin,http://www.huffpostarabi.com/2017/01/13/story_n_14152938.html
https://www.theguardian.com/uk-news/2017/jan/15/st-marys-cathedral-glasgow-quran-reading-david-chillingworth,http://www.huffpostarabi.com/2017/01/15/story_n_14186150.html
https://www.theguardian.com/world/2017/jan/15/observer-profile-vladimir-putin,http://www.huffpostarabi.com/2017/01/15/story_n_14184618.html
http://www.huffingtonpost.co.uk/entry/urine-test-can-tell-doctors-what-you-have-eaten_uk_587898c8e4b0f3b82a3720c7,http://www.huffpostarabi.com/2017/01/15/story_n_14184470.html
https://www.nytimes.com/2016/04/16/science/the-water-in-your-glass-might-be-older-than-the-sun.html,http://www.huffpostarabi.com/2017/01/15/story_n_14184172.html
http://www.wsj.com/articles/immigrant-rights-protests-planned-for-50-u-s-cities-1484395203,http://www.huffpostarabi.com/2017/01/15/story_n_14183270.html
http://www.thedailybeast.com/articles/2017/01/15/the-real-origins-of-tomb-raider-curses.html,http://www.huffpostarabi.com/2017/01/15/story_n_14183216.html
http://www.vocativ.com/391247/trump-buy-data-muslim-registry/,http://www.huffpostarabi.com/2017/01/15/story_n_14182400.html
http://www.dailymail.co.uk/femail/food/article-4101672/Could-veganism-DANGEROUS-health-risks-eating-trendy-plant-based-diet-revealed-not-agrees.html,http://www.huffpostarabi.com/2017/01/15/story_n_14144454.html
http://www.dailymail.co.uk/sciencetech/article-4113856/Facebook-wants-read-THOUGHTS-Secretive-division-making-mind-reading-device.html,http://www.huffpostarabi.com/2017/01/15/story_n_14180472.html
http://www.independent.co.uk/news/business/news/from-steve-jobs-obama-jeff-bezos-mark-zuckerberg-how-8-of-the-world-s-most-successful-people-start-a6686466.html,http://www.huffpostarabi.com/2016/03/05/story_n_9384728.html
https://www.thesun.co.uk/living/2335060/having-sex-at-least-four-times-a-week-can-save-a-mans-life-and-leave-couples-looking-seven-years-younger-a-study-shows/,http://www.huffpostarabi.com/2017/01/11/story_n_14083764.html
